Record_ID,Sequence_Next,Execution,Execution_Code,Variation,CE_Code,Pillar,Target,Market_Zip,Offer_Speed,Offer_Price_Dollars,Offer_Price_Cents,Offer_Term_Period,Offer_Regular_Rate,Channel,Size,Status,Start_Date,End_Date,Creative_Brief,Image_Description_Prompt,Image_Asset,Supporting_Copy,Legal_Full,Legal_Short,Approval_Notes,AMJ_ID,AMJ_Creative_Pillar,AMJ_Message_Theme_Angle,AMJ_Targeting_Trigger,AMJ_Audience_Demo_Visual,AMJ_Primary_Visual_Direction,AMJ_Sample_Headline,AMJ_Support_Copy_Proof_Point,AMJ_Offer_Product_Layer,AMJ_Localization_Dynamic_Fields,AMJ_Test_Learning_Question,AMJ_Priority,AMJ_Dependencies_Guardrails,AMJ_Horizontal_Base_Strategy,AMJ_Horizontal_Trigger_Market_Rule,AMJ_Horizontal_Core_Message,AMJ_Variant_Family_Multi_Device,AMJ_Variant_WFH_Professional,AMJ_Variant_Gamer_Power_User,AMJ_Variant_Parent_Security,AMJ_Variant_Entertainment_Streamer,AMJ_What_Stays_Constant,AMJ_What_Changes_Dynamically,AMJ_Comparison_Status,Message_1_Required,Message_2_Required,Message_3_Required,Message_4_Required,Message_5_Required,Message_1,Message_2,Message_3,Message_4,Message_5
DCO-0020,,Competitive Differentiation,Comp,eero Security,Eero_Sec,Competitive Advantage,eero-eligible markets,TBD,,,,,,Display,Full Set,Current,,,Build the eero – Security route for eero-eligible markets. Audience and demo: Parents / security-minded households. Visual direction: Parent + kids/devices; subtle shield/security UI motif rather than fear-based imagery. Lead with: WiFi That Helps Protect What Connects. Support with: Put smarter home WiFi and security features to work with eero. Dynamic fields: Market; eero product/plan; offer. Guardrails: Confirm which eero security features are included in the advertised plan.,Parent + kids/devices; subtle shield/security UI motif rather than fear-based imagery. Audience: Parents / security-minded households.,,Put smarter home WiFi and security features to work with eero.,,,,CA-02,Competitive Advantage,eero – Security,eero-eligible markets,Parents / security-minded households,Parent + kids/devices; subtle shield/security UI motif rather than fear-based imagery,WiFi That Helps Protect What Connects.,Put smarter home WiFi and security features to work with eero.,TBD,Market; eero product/plan; offer,Does security-led eero messaging attract a distinct audience vs. coverage?,High,Confirm which eero security features are included in the advertised plan.,eero – Security,Only where advertised eero security features are included,Smarter WiFi can add a layer of protection/control.,Family devices with subtle security cue,Laptop/work files + home network protection cue,Gaming devices protected on home network,Parent + children; strongest fit for security/control story,Smart TVs/streaming devices with subtle protection cue,"Approved security feature set, eero branding, CTA",Audience visual; feature emphasis; headline; offer,New route from AMJ update,1,0,0,0,0,WiFi That Helps Protect What Connects.,Put smarter home WiFi and security features to work with eero.,,,
DCO-0021,,Competitive Differentiation,Comp,eero Device Management,Eero_Ctrl,Competitive Advantage,eero-eligible markets,TBD,,,,,,Display,Full Set,Current,,,Build the eero – Device Management / Control route for eero-eligible markets. Audience and demo: Parents / connected families. Visual direction: Parent using phone app with household devices in background. Lead with: Take Control of Your Home WiFi. Support with: Premium eero WiFi makes it easier to manage your connected home. Dynamic fields: Market; offer. Guardrails: Concept expansion; verify exact app/features before production.,Parent using phone app with household devices in background. Audience: Parents / connected families.,,Premium eero WiFi makes it easier to manage your connected home.,,,,CA-03,Competitive Advantage,eero – Device Management / Control,eero-eligible markets,Parents / connected families,Parent using phone app with household devices in background,Take Control of Your Home WiFi.,Premium eero WiFi makes it easier to manage your connected home.,TBD,Market; offer,Does control/management resonate with families more than technical WiFi language?,Medium,Concept expansion; verify exact app/features before production.,eero – Device Management,eero-eligible markets,Make home WiFi easier to manage.,Parent checking connected household devices,Professional prioritizing/monitoring work setup,Gamer managing connected devices,Parent/app visual; strongest fit,Household managing TVs/tablets/phones,"Approved eero feature truth, CTA",Use case; visual; copy emphasis,New route from AMJ update,1,0,0,0,0,Take Control of Your Home WiFi.,Premium eero WiFi makes it easier to manage your connected home.,,,
DCO-0003,,Competitive Differentiation,Comp,eero Busy Connected Home,Eero,Competitive Advantage,eero vs. competitor ZIPs / broad eero markets,TBD,,,,,,Display,Full Set,Current,,,"Build the eero – Busy Connected Home route for eero vs. competitor ZIPs / broad eero markets. Audience and demo: Multi-device family. Visual direction: Family simultaneously streaming, gaming, working; eero as enabling product. Lead with: Your Internet Is Only As Good As Your WiFi Support with: Get award-winning eero WiFi with Sparklight. Dynamic fields: Competitor/ZIP; market; offer. Guardrails: Existing source message.","Family simultaneously streaming, gaming, working; eero as enabling product. Audience: Multi-device family.",,Get award-winning eero WiFi with Sparklight.,,,,CA-04,Competitive Advantage,eero – Busy Connected Home,eero vs. competitor ZIPs / broad eero markets,Multi-device family,"Family simultaneously streaming, gaming, working; eero as enabling product",Your Internet Is Only As Good As Your WiFi,Get award-winning eero WiFi with Sparklight.,TBD,Competitor/ZIP; market; offer,Which demo visual best brings the existing eero positioning to life?,High,Existing source message.,,,,,,,,,,,Updated existing DCO route,1,0,0,0,0,Your Internet Is Only As Good As Your WiFi,Get award-winning eero WiFi with Sparklight.,,,
DCO-0004,,Competitive Differentiation,Comp,FWA 5G Faster Internet,FWA5G,Competitive Advantage,High fixed wireless adoption / broad MSO use,TBD,,,,,,Display,Full Set,Current,,,Build the FWA / 5G – Faster Internet route for High fixed wireless adoption / broad MSO use. Audience and demo: Busy family / multi-device household. Visual direction: Simultaneous streaming/gaming/work-from-home. Lead with: Built for Busy Homes Support with: Sparklight delivers 50% faster Internet speeds than 5G Home Internet.* Dynamic fields: FWA propensity/market; offer. Guardrails: Ookla-based claim/disclaimer; confirm approval language.,Simultaneous streaming/gaming/work-from-home. Audience: Busy family / multi-device household.,,Sparklight delivers 50% faster Internet speeds than 5G Home Internet.*,Based on Sparklight's analysis of Ookla Speedtest Intelligence data during H1 2026 in Sparklight's footprint. Ookla trademarks used under license and reprinted with permission.,TBD - Approved short legal version required.,Ookla support required. Follow up is pending on the wording Sparklight's analysis.,CA-05,Competitive Advantage,FWA / 5G – Faster Internet,High fixed wireless adoption / broad MSO use,Busy family / multi-device household,Simultaneous streaming/gaming/work-from-home,Built for Busy Homes,Sparklight delivers 50% faster Internet speeds than 5G Home Internet.*,TBD,FWA propensity/market; offer,Does speed superiority convert FWA prospects better with family or device-led visuals?,High,Ookla-based claim/disclaimer; confirm approval language.,FWA / 5G Comparison,High FWA adoption,Sparklight performance advantage vs. FWA/5G Home Internet.,Busy household: speed / reliability,Video calls + uploads: upload / reliability,Gaming: responsiveness,Family stability: reliability,Multiple streams: faster speeds,Approved Ookla claim/disclaimer and brand template,Claim selected by audience; visual; market; offer,Updated existing DCO route,1,1,0,0,0,Built for Busy Homes,Sparklight delivers 50% faster Internet speeds than 5G Home Internet.*,,,
DCO-0022,,Competitive Differentiation,Comp,FWA 5G Faster Upload,FWA5G_Up,Competitive Advantage,High fixed wireless adoption / creator/WFH audiences where available,TBD,,,,,,Display,Full Set,Current,,,"Build the FWA / 5G – Faster Upload route for High fixed wireless adoption / creator/WFH audiences where available. Audience and demo: Creators / WFH / video callers. Visual direction: Uploading content, video meeting, cloud backup visual. Lead with: Upload Without the Wait. Support with: Sparklight has 73% faster upload speeds than FWA/5G Home Internet.* Dynamic fields: Audience; FWA propensity; offer. Guardrails: Ookla-based claim/disclaimer; creative approval required.","Uploading content, video meeting, cloud backup visual. Audience: Creators / WFH / video callers.",,Sparklight has 73% faster upload speeds than FWA/5G Home Internet.*,Based on Sparklight's analysis of Ookla Speedtest Intelligence data during H1 2026 in Sparklight's footprint. Ookla trademarks used under license and reprinted with permission.,TBD - Approved short legal version required.,,CA-06,Competitive Advantage,FWA / 5G – Faster Upload,High fixed wireless adoption / creator/WFH audiences where available,Creators / WFH / video callers,"Uploading content, video meeting, cloud backup visual",Upload Without the Wait.,Sparklight has 73% faster upload speeds than FWA/5G Home Internet.*,TBD,Audience; FWA propensity; offer,Does upload proof perform better for creators/WFH than the blanket speed claim?,Medium,Ookla-based claim/disclaimer; creative approval required.,FWA / 5G Comparison,High FWA adoption,Sparklight performance advantage vs. FWA/5G Home Internet.,Busy household: speed / reliability,Video calls + uploads: upload / reliability,Gaming: responsiveness,Family stability: reliability,Multiple streams: faster speeds,Approved Ookla claim/disclaimer and brand template,Claim selected by audience; visual; market; offer,New route from AMJ update,1,1,0,0,0,Upload Without the Wait.,Sparklight has 73% faster upload speeds than FWA/5G Home Internet.*,,,
DCO-0023,,Competitive Differentiation,Comp,FWA 5G Responsiveness,FWA5G_Resp,Competitive Advantage,High fixed wireless adoption,TBD,,,,,,Display,Full Set,Current,,,Build the FWA / 5G – Responsiveness route for High fixed wireless adoption. Audience and demo: Gamers / interactive-use households. Visual direction: Gaming or live interaction visual. Lead with: Internet That Keeps Up. Support with: Sparklight has 42% more responsive Internet speeds than FWA/5G Home Internet.* Dynamic fields: Audience; FWA propensity; offer. Guardrails: Ookla-based claim; define consumer-friendly approved wording.,Gaming or live interaction visual. Audience: Gamers / interactive-use households.,,Sparklight has 42% more responsive Internet speeds than FWA/5G Home Internet.*,Based on Sparklight's analysis of Ookla Speedtest Intelligence data during H1 2026 in Sparklight's footprint. Ookla trademarks used under license and reprinted with permission.,TBD - Approved short legal version required.,,CA-07,Competitive Advantage,FWA / 5G – Responsiveness,High fixed wireless adoption,Gamers / interactive-use households,Gaming or live interaction visual,Internet That Keeps Up.,Sparklight has 42% more responsive Internet speeds than FWA/5G Home Internet.*,TBD,Audience; FWA propensity; offer,Can responsiveness become a meaningful gaming/interactive-use message?,Medium,Ookla-based claim; define consumer-friendly approved wording.,FWA / 5G Comparison,High FWA adoption,Sparklight performance advantage vs. FWA/5G Home Internet.,Busy household: speed / reliability,Video calls + uploads: upload / reliability,Gaming: responsiveness,Family stability: reliability,Multiple streams: faster speeds,Approved Ookla claim/disclaimer and brand template,Claim selected by audience; visual; market; offer,New route from AMJ update,1,1,0,0,0,Internet That Keeps Up.,Sparklight has 42% more responsive Internet speeds than FWA/5G Home Internet.*,,,
DCO-0024,,Competitive Differentiation,Comp,FWA 5G Reliability,FWA5G_Rel,Competitive Advantage,High fixed wireless adoption,TBD,,,,,,Display,Full Set,Current,,,Build the FWA / 5G – Reliability route for High fixed wireless adoption. Audience and demo: WFH / family household. Visual direction: Video call + household use; stable connection cue. Lead with: A Connection You Can Count On. Support with: Sparklight has 11% more reliable Internet speeds than FWA/5G Home Internet.* Dynamic fields: Audience; FWA propensity; offer. Guardrails: Ookla-based claim/disclaimer; clarify exact reliability wording.,Video call + household use; stable connection cue. Audience: WFH / family household.,,Sparklight has 11% more reliable Internet speeds than FWA/5G Home Internet.*,Based on Sparklight's analysis of Ookla Speedtest Intelligence data during H1 2026 in Sparklight's footprint. Ookla trademarks used under license and reprinted with permission.,TBD - Approved short legal version required.,,CA-08,Competitive Advantage,FWA / 5G – Reliability,High fixed wireless adoption,WFH / family household,Video call + household use; stable connection cue,A Connection You Can Count On.,Sparklight has 11% more reliable Internet speeds than FWA/5G Home Internet.*,TBD,Audience; FWA propensity; offer,Does reliability outperform raw speed for WFH/family audiences?,Medium,Ookla-based claim/disclaimer; clarify exact reliability wording.,FWA / 5G Comparison,High FWA adoption,Sparklight performance advantage vs. FWA/5G Home Internet.,Busy household: speed / reliability,Video calls + uploads: upload / reliability,Gaming: responsiveness,Family stability: reliability,Multiple streams: faster speeds,Approved Ookla claim/disclaimer and brand template,Claim selected by audience; visual; market; offer,New route from AMJ update,1,1,0,0,0,A Connection You Can Count On.,Sparklight has 11% more reliable Internet speeds than FWA/5G Home Internet.*,,,
DCO-0005,,Competitive Differentiation,Comp,MetroNet,Met_Vin,Competitive Advantage,"Vincennes, IN ZIP code / approved local claim markets",Vincennes_IN,,,,,,Display,Full Set,Current,,,"Build the Ookla – Local Fastest Download route for Vincennes, IN ZIP code / approved local claim markets. Audience and demo: Local family / broad household. Visual direction: Localized lifestyle/home visual with market name integrated. Lead with: Enough Internet For Everyone Support with: Powered By The Fastest Download Speeds In Vincennes*. Dynamic fields: Market name; approved claim; offer. Guardrails: Ookla review/approval required. Keep variations limited to approved claim.",Localized lifestyle/home visual with market name integrated. Audience: Local family / broad household.,,Powered By The Fastest Download Speeds In Vincennes*.,Based on Ookla Speedtest Intelligence data for 1H 2026. Ookla trademarks used under license and reprinted with permission.,TBD - Approved short legal version required.,Ookla claim.,CA-09,Competitive Advantage,Ookla – Local Fastest Download,"Vincennes, IN ZIP code / approved local claim markets",Local family / broad household,Localized lifestyle/home visual with market name integrated,Enough Internet For Everyone,Powered By The Fastest Download Speeds In Vincennes*.,TBD,Market name; approved claim; offer,Does local proof outperform a generic speed message?,High,Ookla review/approval required. Keep variations limited to approved claim.,,,,,,,,,,,Updated existing DCO route,1,0,0,0,0,Enough Internet For Everyone,Powered By The Fastest Download Speeds In Vincennes*.,,,
DCO-0006,,Competitive Differentiation,Comp,Named Competitor Comparison,NamedComp,Competitive Advantage,Boise CenturyLink / Roswell Plateau ZIPs,Boise_ID Roswell_NM,,,,,,Display,Full Set,Current,,,Build the Ookla – Named Competitor Comparison route for Boise CenturyLink / Roswell Plateau ZIPs. Audience and demo: Switcher / competitor customer. Visual direction: Clean comparison layout; optional local household visual. Lead with: Sparklight Download Speeds Are Faster Than [Competitor]* Support with: Upgrade to Gig Speed Internet with premium eero WiFi. Dynamic fields: Competitor name; market; offer. Guardrails: Ookla review/approval required; use only approved markets/competitors.,Clean comparison layout; optional local household visual. Audience: Switcher / competitor customer.,,Upgrade to Gig Speed Internet with premium eero WiFi.,Based on Ookla Speedtest Intelligence data for 1H 2026. Ookla trademarks used under license and reprinted with permission.,TBD - Approved short legal version required.,AMJ CA-10 consolidates prior DCO-0006 CenturyLink and DCO-0007 Plateau routes. Ookla claim. Ookla claim. Ookla must review and approve creative.,CA-10,Competitive Advantage,Ookla – Named Competitor Comparison,Boise CenturyLink / Roswell Plateau ZIPs,Switcher / competitor customer,Clean comparison layout; optional local household visual,Sparklight Download Speeds Are Faster Than [Competitor]*,Upgrade to Gig Speed Internet with premium eero WiFi.,TBD,Competitor name; market; offer,Does direct competitor naming outperform generic 'upgrade' messaging?,High,Ookla review/approval required; use only approved markets/competitors.,,,,,,,,,,,Updated existing DCO route,1,0,0,0,0,Sparklight Download Speeds Are Faster Than [Competitor]*,Upgrade to Gig Speed Internet with premium eero WiFi.,,,
DCO-0008,,Competitive Differentiation,Comp,DSL,DSL,Competitive Advantage,DSL-only ZIP codes,TBD,,,,,,Display,Full Set,Current,,,Build the DSL – Upgrade From Legacy Technology route for DSL-only ZIP codes. Audience and demo: Older-tech / underserved household. Visual direction: Outdated modem/slow-loading cue contrasted with modern connected home. Lead with: Your Home Has Outgrown DSL Support with: Upgrade to Gig speed Internet with premium eero WiFi. Dynamic fields: DSL ZIP; market; offer. Guardrails: No unsupported competitor-specific claim.,Outdated modem/slow-loading cue contrasted with modern connected home. Audience: Older-tech / underserved household.,,Upgrade to Gig speed Internet with premium eero WiFi.,,,,CA-11,Competitive Advantage,DSL – Upgrade From Legacy Technology,DSL-only ZIP codes,Older-tech / underserved household,Outdated modem/slow-loading cue contrasted with modern connected home,Your Home Has Outgrown DSL,Upgrade to Gig speed Internet with premium eero WiFi.,TBD,DSL ZIP; market; offer,Does 'outgrown' emotional framing outperform technical speed comparison?,High,No unsupported competitor-specific claim.,DSL Upgrade,DSL-only ZIPs,Your home has outgrown DSL.,Connected family needs more,Modern work-from-home needs,Gaming needs,Parent managing a more connected household,Streaming-first home,"DSL targeting, upgrade framing, CTA",Audience visual; headline/support; offer,Updated existing DCO route,1,0,0,0,0,Your Home Has Outgrown DSL,Upgrade to Gig speed Internet with premium eero WiFi.,,,
DCO-0009,,Competitive Differentiation,Comp,Starlink,Star,Competitive Advantage,Starlink competitive markets,TBD,,,,,,Display,Full Set,Current,,,Build the Starlink – Terrestrial Reliability route for Starlink competitive markets. Audience and demo: Rural / satellite-considering household. Visual direction: Home exterior + connected indoor life; avoid disparaging visual. Lead with: Your Best Internet Doesn’t Come From Space Support with: Sparklight is built for a reliable connection. Dynamic fields: Starlink market; offer. Guardrails: Validate legal/comparative claim boundaries.,Home exterior + connected indoor life; avoid disparaging visual. Audience: Rural / satellite-considering household.,,Sparklight is built for a reliable connection.,,,,CA-12,Competitive Advantage,Starlink – Terrestrial Reliability,Starlink competitive markets,Rural / satellite-considering household,Home exterior + connected indoor life; avoid disparaging visual,Your Best Internet Doesn’t Come From Space,Sparklight is built for a reliable connection.,TBD,Starlink market; offer,Does playful category contrast create attention without hurting trust?,High,Validate legal/comparative claim boundaries.,,,,,,,,,,,Updated existing DCO route,1,0,0,0,0,Your Best Internet Doesn’t Come From Space,Sparklight is built for a reliable connection.,,,
DCO-0014,,Superior Network Performance,NetPerf,Opensignal Network Leadership,Open,Network Performance,Markets/ZIPs where Opensignal confirms network leadership,TBD,,,,,,Display,Full Set,Current,,,"Build the Opensignal – Performance Leadership route for Markets/ZIPs where Opensignal confirms network leadership. Audience and demo: Broad household. Visual direction: Everyday connected-home moment with proof badge/data cue. Lead with: Performance You Can Count On Support with: Sparklight delivers fast, dependable Internet on a fiber-fueled network. Dynamic fields: Approved market/ZIP; proof point; offer. Guardrails: Only deploy where data confirms leadership; approvals/disclosures TBD.",Everyday connected-home moment with proof badge/data cue. Audience: Broad household.,,"Sparklight delivers fast, dependable Internet on a fiber-fueled network.",TBD - Opensignal legal language required.,TBD - Opensignal short legal required.,Opensignal support is required before using this execution in a market. The source guide does not provide a specific Opensignal claim or disclaimer.,NP-01,Network Performance,Opensignal – Performance Leadership,Markets/ZIPs where Opensignal confirms network leadership,Broad household,Everyday connected-home moment with proof badge/data cue,Performance You Can Count On,"Sparklight delivers fast, dependable Internet on a fiber-fueled network.",TBD,Approved market/ZIP; proof point; offer,Does third-party proof increase response vs. benefit-only creative?,High,Only deploy where data confirms leadership; approvals/disclosures TBD.,,,,,,,,,,,Updated existing DCO route,1,0,0,0,0,Performance You Can Count On,"Sparklight delivers fast, dependable Internet on a fiber-fueled network.",,,
DCO-0025,,Superior Network Performance,NetPerf,Reliability Work From Home,Rel_WFH,Network Performance,Approved reliability markets / broad where substantiated,TBD,,,,,,Display,Full Set,Current,,,"Build the Reliability – Work From Home route for Approved reliability markets / broad where substantiated. Audience and demo: Remote/hybrid workers. Visual direction: Professional video call with other home activity in background. Lead with: Stay Connected When Work Depends on It. Support with: Fast, dependable Internet for the way you work at home. Dynamic fields: Audience; market; offer. Guardrails: Concept expansion; substantiate any performance claim.",Professional video call with other home activity in background. Audience: Remote/hybrid workers.,,"Fast, dependable Internet for the way you work at home.",TBD - Opensignal legal language required.,TBD - Opensignal short legal required.,,NP-02,Network Performance,Reliability – Work From Home,Approved reliability markets / broad where substantiated,Remote/hybrid workers,Professional video call with other home activity in background,Stay Connected When Work Depends on It.,"Fast, dependable Internet for the way you work at home.",TBD,Audience; market; offer,Does reliability become more persuasive when tied to a specific use case?,Medium,Concept expansion; substantiate any performance claim.,Network Reliability,Only where substantiated,"Fast, dependable Internet.",Homework + streaming + gaming,Critical video meeting,Live gaming session,Family devices / connected home,Movie night / live sports,"Approved proof point, CTA",Use case; visual; market; proof badge,New route from AMJ update,1,0,0,0,0,Stay Connected When Work Depends on It.,"Fast, dependable Internet for the way you work at home.",,,
DCO-0026,,Superior Network Performance,NetPerf,Reliability Family Everyday,Rel_Fam,Network Performance,Approved reliability markets / broad where substantiated,TBD,,,,,,Display,Full Set,Current,,,Build the Reliability – Family / Everyday route for Approved reliability markets / broad where substantiated. Audience and demo: Family household. Visual direction: Family movie night / homework / gaming happening together. Lead with: Dependable Internet for Real Life. Support with: A reliable connection for the moments your home counts on. Dynamic fields: Audience; market; offer. Guardrails: Concept expansion; final claim review.,Family movie night / homework / gaming happening together. Audience: Family household.,,A reliable connection for the moments your home counts on.,TBD - Opensignal legal language required.,TBD - Opensignal short legal required.,,NP-03,Network Performance,Reliability – Family / Everyday,Approved reliability markets / broad where substantiated,Family household,Family movie night / homework / gaming happening together,Dependable Internet for Real Life.,A reliable connection for the moments your home counts on.,TBD,Audience; market; offer,"Which reliability use case—work, family or entertainment—wins?",Medium,Concept expansion; final claim review.,Network Reliability,Only where substantiated,"Fast, dependable Internet.",Homework + streaming + gaming,Critical video meeting,Live gaming session,Family devices / connected home,Movie night / live sports,"Approved proof point, CTA",Use case; visual; market; proof badge,New route from AMJ update,1,0,0,0,0,Dependable Internet for Real Life.,A reliable connection for the moments your home counts on.,,,
DCO-0010,,Competitor Outage Response,Outage,Competitor Outage,Resp,Market Events,ZIP codes experiencing competitor outages,DYNAMIC,,,,,,Display,Full Set,Current,,,"Build the Competitor Outage – Switch Message route for ZIP codes experiencing competitor outages. Audience and demo: Affected competitor customers. Visual direction: Connected household / service recovery visual; avoid disaster imagery. Lead with: Looking for a More Reliable Connection? Support with: Switch today and get Gig speed Internet, premium eero WiFi and local support. Dynamic fields: Outage geography; competitor where permitted; offer. Guardrails: Requires fast activation/suppression logic and legal guidance on competitor references.",Connected household / service recovery visual; avoid disaster imagery. Audience: Affected competitor customers.,,"Switch today and get Gig speed Internet, premium eero WiFi and local support.",,,,ME-01,Market Events,Competitor Outage – Switch Message,ZIP codes experiencing competitor outages,Affected competitor customers,Connected household / service recovery visual; avoid disaster imagery,Looking for a More Reliable Connection?,"Switch today and get Gig speed Internet, premium eero WiFi and local support.",TBD,Outage geography; competitor where permitted; offer,Can timely outage-triggered creative accelerate switching?,High,Requires fast activation/suppression logic and legal guidance on competitor references.,Competitor Outage,Active outage ZIPs,Switch to a more reliable connection / local support.,Family trying to get everyone back online,Work interrupted,Gaming/connection interruption,Parent managing household disruption,Streaming interruption,"Event trigger, brand/CTA, approved switch message",Visual/use case; market; offer; support vs reliability angle,Updated existing DCO route,1,0,0,0,0,Looking for a More Reliable Connection?,"Switch today and get Gig speed Internet, premium eero WiFi and local support.",,,
DCO-0027,,Competitor Outage Response,Outage,Local Support,Local_Sup,Market Events,ZIP codes experiencing competitor outages,TBD,,,,,,Display,Full Set,Current,,,"Build the Competitor Outage – Local Support route for ZIP codes experiencing competitor outages. Audience and demo: Affected households valuing service/support. Visual direction: Helpful local support/customer service visual. Lead with: When Your Internet Is Down, Local Support Matters. Support with: Switch to Sparklight for fast Internet, premium eero WiFi and local support. Dynamic fields: Outage geography; market; offer. Guardrails: Concept expansion; confirm support claim and event-response rules.",Helpful local support/customer service visual. Audience: Affected households valuing service/support.,,"Switch to Sparklight for fast Internet, premium eero WiFi and local support.",,,,ME-02,Market Events,Competitor Outage – Local Support,ZIP codes experiencing competitor outages,Affected households valuing service/support,Helpful local support/customer service visual,"When Your Internet Is Down, Local Support Matters.","Switch to Sparklight for fast Internet, premium eero WiFi and local support.",TBD,Outage geography; market; offer,Does support-led messaging outperform reliability-led outage creative?,Medium,Concept expansion; confirm support claim and event-response rules.,Competitor Outage,Active outage ZIPs,Switch to a more reliable connection / local support.,Family trying to get everyone back online,Work interrupted,Gaming/connection interruption,Parent managing household disruption,Streaming interruption,"Event trigger, brand/CTA, approved switch message",Visual/use case; market; offer; support vs reliability angle,New route from AMJ update,1,0,0,0,0,"When Your Internet Is Down, Local Support Matters.","Switch to Sparklight for fast Internet, premium eero WiFi and local support.",,,
